----------------------------- MORE -----------------------------

| Naziv : More 392 | P = 535 | S = 268 | MSV = 2 | kTezine = 572437 |
| Naziv : Planina 544 | P = 897 | H = 999 | kTezine = 472.628 |
| Naziv : Planina 186 | P = 938 | H = 944 | kTezine = 470.495 |
| Naziv : Planina 656 | P = 916 | H = 939 | kTezine = 463.679 |
| Naziv : Planina 18 | P = 879 | H = 971 | kTezine = 461.356 |
| Naziv : Planina 351 | P = 928 | H = 916 | kTezine = 460.98 |
| Naziv : Planina 151 | P = 949 | H = 891 | kTezine = 459.543 |
| Naziv : Planina 399 | P = 859 | H = 983 | kTezine = 458.413 |
| Naziv : Planina 32 | P = 931 | H = 901 | kTezine = 457.877 |
| Naziv : Planina 26 | P = 975 | H = 856 | kTezine = 455.816 |
| Naziv : Planina 443 | P = 837 | H = 975 | kTezine = 450.373 |
| Naziv : Planina 492 | P = 920 | H = 875 | kTezine = 448.468 |
| Naziv : Planina 103 | P = 908 | H = 875 | kTezine = 445.597 |
| Naziv : Planina 560 | P = 976 | H = 819 | kTezine = 445.317 |
| Naziv : Planina 254 | P = 892 | H = 866 | kTezine = 439.404 |
| Naziv : Planina 703 | P = 970 | H = 801 | kTezine = 438.718 |
| Naziv : Planina 411 | P = 926 | H = 828 | kTezine = 437.131 |
| Naziv : Planina 735 | P = 808 | H = 951 | kTezine = 436.844 |
| Naziv : Planina 298 | P = 772 | H = 983 | kTezine = 432.408 |
| Naziv : Planina 584 | P = 786 | H = 954 | kTezine = 430.945 |
| Naziv : Planina 713 | P = 979 | H = 769 | kTezine = 430.693 |
| Naziv : Planina 23 | P = 825 | H = 899 | kTezine = 430.206 |
| Naziv : Planina 321 | P = 769 | H = 973 | kTezine = 429.528 |
| Naziv : Planina 640 | P = 841 | H = 870 | kTezine = 427.627 |
| Naziv : Planina 184 | P = 946 | H = 779 | kTezine = 427.208 |
| Naziv : Planina 111 | P = 832 | H = 872 | kTezine = 425.765 |
| Naziv : Planina 414 | P = 757 | H = 970 | kTezine = 425.182 |
| Naziv : Planina 202 | P = 804 | H = 901 | kTezine = 424.87 |
| Naziv : Planina 575 | P = 785 | H = 923 | kTezine = 424.213 |
| Naziv : Planina 753 | P = 840 | H = 847 | kTezine = 421.743 |
| Naziv : Planina 334 | P = 856 | H = 830 | kTezine = 421.4 |
| Naziv : Planina 148 | P = 841 | H = 841 | kTezine = 420.5 |
| Naziv : Planina 508 | P = 731 | H = 988 | kTezine = 420.144 |
| Naziv : Planina 449 | P = 856 | H = 821 | kTezine = 419.067 |
| Naziv : Planina 310 | P = 778 | H = 907 | kTezine = 418.781 |
| Naziv : Planina 51 | P = 815 | H = 855 | kTezine = 417.26 |
| Naziv : Planina 325 | P = 859 | H = 811 | kTezine = 417.155 |
| Naziv : Planina 50 | P = 833 | H = 834 | kTezine = 416.75 |
| Naziv : Planina 371 | P = 989 | H = 720 | kTezine = 416.665 |
| Naziv : Planina 716 | P = 724 | H = 978 | kTezine = 416.023 |
| Naziv : Planina 350 | P = 829 | H = 834 | kTezine = 415.746 |
| Naziv : Planina 400 | P = 869 | H = 796 | kTezine = 415.45 |
| Naziv : Planina 342 | P = 793 | H = 870 | kTezine = 414.859 |
| Naziv : Planina 507 | P = 753 | H = 917 | kTezine = 413.474 |
| Naziv : Planina 70 | P = 849 | H = 799 | kTezine = 411.621 |
| Naziv : Planina 193 | P = 732 | H = 936 | kTezine = 410.763 |
| Naziv : Planina 493 | P = 780 | H = 866 | kTezine = 410.377 |
| Naziv : Planina 294 | P = 736 | H = 907 | kTezine = 406.301 |
| Naziv : Planina 231 | P = 767 | H = 861 | kTezine = 405.643 |
| Naziv : Planina 681 | P = 807 | H = 813 | kTezine = 404.994 |
| Naziv : Planina 281 | P = 790 | H = 830 | kTezine = 404.753 |
| Naziv : Planina 737 | P = 852 | H = 769 | kTezine = 404.188 |
| Naziv : Planina 597 | P = 678 | H = 999 | kTezine = 403.889 |
| Naziv : Planina 461 | P = 697 | H = 953 | kTezine = 402.57 |
| Naziv : Planina 212 | P = 690 | H = 954 | kTezine = 400.401 |
| Naziv : Planina 128 | P = 896 | H = 723 | kTezine = 400.128 |
| Naziv : Planina 130 | P = 720 | H = 894 | kTezine = 398.81 |
| Naziv : Planina 491 | P = 809 | H = 786 | kTezine = 398.667 |
| Naziv : Planina 43 | P = 795 | H = 793 | kTezine = 396.999 |
| Naziv : Planina 381 | P = 861 | H = 733 | kTezine = 395.93 |
| Naziv : Planina 290 | P = 711 | H = 893 | kTezine = 395.837 |
| Naziv : Planina 343 | P = 698 | H = 911 | kTezine = 395.201 |
| Naziv : Planina 261 | P = 892 | H = 709 | kTezine = 395.021 |
| Naziv : Planina 187 | P = 754 | H = 829 | kTezine = 394.862 |
| Naziv : Planina 468 | P = 685 | H = 925 | kTezine = 393.556 |
| Naziv : Planina 129 | P = 779 | H = 795 | kTezine = 393.459 |
| Naziv : Planina 625 | P = 974 | H = 659 | kTezine = 393.059 |
| Naziv : Planina 336 | P = 995 | H = 649 | kTezine = 392.795 |
| Naziv : Planina 27 | P = 781 | H = 785 | kTezine = 391.497 |
| Naziv : Planina 263 | P = 675 | H = 932 | kTezine = 391.475 |
| Naziv : Planina 248 | P = 683 | H = 915 | kTezine = 391.079 |
| Naziv : Planina 708 | P = 659 | H = 960 | kTezine = 390.76 |
| Naziv : Planina 77 | P = 872 | H = 705 | kTezine = 389.829 |
| Naziv : Planina 594 | P = 846 | H = 720 | kTezine = 388.966 |
| Naziv : Planina 144 | P = 728 | H = 832 | kTezine = 388.267 |
| Naziv : Planina 732 | P = 756 | H = 794 | kTezine = 387.267 |
| Naziv : Planina 35 | P = 655 | H = 945 | kTezine = 386.859 |
| Naziv : Planina 265 | P = 803 | H = 742 | kTezine = 385.648 |
| Naziv : Planina 697 | P = 729 | H = 812 | kTezine = 384.132 |
| Naziv : Planina 472 | P = 721 | H = 821 | kTezine = 383.879 |
| Naziv : Planina 415 | P = 959 | H = 638 | kTezine = 383.12 |
| Naziv : Planina 489 | P = 650 | H = 933 | kTezine = 383.102 |
| Naziv : Planina 304 | P = 937 | H = 644 | kTezine = 381.675 |
| Naziv : Planina 150 | P = 723 | H = 806 | kTezine = 381.124 |
| Naziv : Planina 689 | P = 663 | H = 894 | kTezine = 380.682 |
| Naziv : Planina 585 | P = 729 | H = 790 | kTezine = 379.138 |
| Naziv : Planina 498 | P = 619 | H = 965 | kTezine = 377.105 |
| Naziv : Planina 777 | P = 668 | H = 864 | kTezine = 376.731 |
| Naziv : Planina 259 | P = 643 | H = 906 | kTezine = 376.087 |
| Naziv : Planina 378 | P = 672 | H = 848 | kTezine = 374.905 |
| Naziv : Planina 773 | P = 609 | H = 953 | kTezine = 371.56 |
| Naziv : Planina 620 | P = 901 | H = 632 | kTezine = 371.449 |
| Naziv : Planina 200 | P = 634 | H = 894 | kTezine = 370.94 |
| Naziv : Planina 319 | P = 927 | H = 617 | kTezine = 370.44 |
| Naziv : Planina 353 | P = 937 | H = 605 | kTezine = 367.63 |
| Naziv : Planina 520 | P = 731 | H = 736 | kTezine = 366.746 |
| Naziv : Planina 438 | P = 958 | H = 587 | kTezine = 363.978 |
| Naziv : Planina 549 | P = 596 | H = 933 | kTezine = 363.681 |
| Naziv : Planina 169 | P = 710 | H = 738 | kTezine = 361.865 |
| Naziv : Planina 22 | P = 833 | H = 639 | kTezine = 361.608 |
| Naziv : Planina 477 | P = 892 | H = 608 | kTezine = 361.557 |
| Naziv : Planina 425 | P = 747 | H = 700 | kTezine = 361.368 |
| Naziv : Planina 746 | P = 745 | H = 700 | kTezine = 360.9 |
| Naziv : Planina 770 | P = 966 | H = 575 | kTezine = 360.448 |
| Naziv : Planina 409 | P = 962 | H = 574 | kTezine = 359.497 |
| Naziv : Planina 318 | P = 728 | H = 710 | kTezine = 359.444 |
| Naziv : Planina 296 | P = 840 | H = 624 | kTezine = 358.033 |
| Naziv : Planina 561 | P = 631 | H = 827 | kTezine = 357.913 |
| Naziv : Planina 82 | P = 642 | H = 801 | kTezine = 356.37 |
| Naziv : Planina 99 | P = 553 | H = 996 | kTezine = 355.577 |
| Naziv : Planina 269 | P = 989 | H = 555 | kTezine = 355.502 |
| Naziv : Planina 44 | P = 708 | H = 713 | kTezine = 355.246 |
| Naziv : Planina 617 | P = 717 | H = 703 | kTezine = 354.965 |
| Naziv : Planina 6 | P = 789 | H = 644 | kTezine = 354.582 |
| Naziv : Planina 329 | P = 897 | H = 571 | kTezine = 348.901 |
| Naziv : Planina 240 | P = 552 | H = 946 | kTezine = 348.593 |
| Naziv : Planina 242 | P = 619 | H = 790 | kTezine = 347.062 |
| Naziv : Planina 217 | P = 590 | H = 842 | kTezine = 346.913 |
| Naziv : Planina 740 | P = 880 | H = 565 | kTezine = 344.083 |
| Naziv : Planina 72 | P = 888 | H = 561 | kTezine = 343.801 |
| Naziv : Planina 340 | P = 640 | H = 737 | kTezine = 342.542 |
| Naziv : Planina 628 | P = 712 | H = 658 | kTezine = 341.968 |
| Naziv : Planina 245 | P = 549 | H = 905 | kTezine = 341.709 |
| Naziv : Planina 24 | P = 992 | H = 509 | kTezine = 336.394 |
| Naziv : Planina 159 | P = 569 | H = 809 | kTezine = 334.05 |
| Naziv : Planina 214 | P = 812 | H = 567 | kTezine = 333.868 |
| Naziv : Planina 726 | P = 552 | H = 844 | kTezine = 333.731 |
| Naziv : Planina 308 | P = 745 | H = 602 | kTezine = 332.955 |
| Naziv : Planina 332 | P = 512 | H = 951 | kTezine = 332.818 |
| Naziv : Planina 92 | P = 605 | H = 734 | kTezine = 331.643 |
| Naziv : Planina 576 | P = 920 | H = 518 | kTezine = 331.405 |
| Naziv : Planina 368 | P = 562 | H = 801 | kTezine = 330.273 |
| Naziv : Planina 463 | P = 623 | H = 699 | kTezine = 329.408 |
| Naziv : Planina 62 | P = 509 | H = 924 | kTezine = 328.204 |
| Naziv : Planina 516 | P = 780 | H = 561 | kTezine = 326.309 |
| Naziv : Planina 499 | P = 561 | H = 773 | kTezine = 325.077 |
| Naziv : Planina 680 | P = 679 | H = 622 | kTezine = 324.626 |
| Naziv : Planina 750 | P = 569 | H = 754 | kTezine = 324.283 |
| Naziv : Planina 720 | P = 713 | H = 592 | kTezine = 323.445 |
| Naziv : Planina 131 | P = 575 | H = 733 | kTezine = 322.229 |
| Naziv : Planina 667 | P = 657 | H = 632 | kTezine = 322.129 |
| Naziv : Planina 526 | P = 737 | H = 568 | kTezine = 320.779 |
| Naziv : Planina 502 | P = 512 | H = 851 | kTezine = 319.671 |
| Naziv : Planina 38 | P = 617 | H = 662 | kTezine = 319.354 |
| Naziv : Planina 664 | P = 852 | H = 510 | kTezine = 319.031 |
| Naziv : Planina 390 | P = 724 | H = 569 | kTezine = 318.605 |
| Naziv : Planina 727 | P = 581 | H = 704 | kTezine = 318.307 |
| Naziv : Planina 748 | P = 796 | H = 530 | kTezine = 318.16 |
| Naziv : Planina 149 | P = 880 | H = 497 | kTezine = 317.618 |
| Naziv : Planina 444 | P = 749 | H = 549 | kTezine = 316.796 |
| Naziv : Planina 357 | P = 511 | H = 829 | kTezine = 316.134 |
| Naziv : Planina 127 | P = 497 | H = 852 | kTezine = 313.895 |
| Naziv : Planina 479 | P = 652 | H = 605 | kTezine = 313.811 |
| Naziv : Planina 121 | P = 493 | H = 857 | kTezine = 312.964 |
| Naziv : Planina 451 | P = 682 | H = 578 | kTezine = 312.854 |
| Naziv : Planina 546 | P = 919 | H = 474 | kTezine = 312.711 |
| Naziv : Planina 165 | P = 496 | H = 846 | kTezine = 312.68 |
| Naziv : Planina 385 | P = 458 | H = 977 | kTezine = 311.823 |
| Naziv : Planina 539 | P = 671 | H = 582 | kTezine = 311.67 |
| Naziv : Planina 173 | P = 979 | H = 457 | kTezine = 311.562 |
| Naziv : Planina 274 | P = 467 | H = 933 | kTezine = 311.222 |
| Naziv : Planina 171 | P = 952 | H = 460 | kTezine = 310.142 |
| Naziv : Planina 771 | P = 965 | H = 455 | kTezine = 309.208 |
| Naziv : Planina 540 | P = 559 | H = 690 | kTezine = 308.815 |
| Naziv : Planina 55 | P = 921 | H = 463 | kTezine = 308.109 |
| Naziv : Planina 678 | P = 482 | H = 847 | kTezine = 307.189 |
| Naziv : Planina 71 | P = 685 | H = 555 | kTezine = 306.593 |
| Naziv : Planina 768 | P = 749 | H = 518 | kTezine = 306.221 |
| Naziv : Planina 120 | P = 542 | H = 703 | kTezine = 306.045 |
| Naziv : Planina 494 | P = 662 | H = 569 | kTezine = 305.993 |
| Naziv : Planina 669 | P = 441 | H = 996 | kTezine = 305.662 |
| Naziv : Planina 403 | P = 485 | H = 821 | kTezine = 304.889 |
| Naziv : Planina 283 | P = 757 | H = 510 | kTezine = 304.712 |
| Naziv : Planina 301 | P = 435 | H = 1000 | kTezine = 303.136 |
| Naziv : Planina 126 | P = 499 | H = 764 | kTezine = 301.85 |
| Naziv : Planina 67 | P = 674 | H = 544 | kTezine = 301.031 |
| Naziv : Planina 607 | P = 833 | H = 470 | kTezine = 300.468 |
| Naziv : Planina 63 | P = 941 | H = 441 | kTezine = 300.276 |
| Naziv : Planina 241 | P = 577 | H = 625 | kTezine = 300.021 |
| Naziv : Planina 124 | P = 880 | H = 455 | kTezine = 299.925 |
| Naziv : Planina 529 | P = 445 | H = 919 | kTezine = 299.82 |
| Naziv : Planina 418 | P = 894 | H = 451 | kTezine = 299.772 |
| Naziv : Planina 569 | P = 458 | H = 866 | kTezine = 299.568 |
| Naziv : Planina 653 | P = 591 | H = 607 | kTezine = 299.447 |
| Naziv : Planina 7 | P = 568 | H = 633 | kTezine = 299.371 |
| Naziv : Planina 372 | P = 572 | H = 627 | kTezine = 299.119 |
| Naziv : Planina 45 | P = 712 | H = 513 | kTezine = 298.168 |
| Naziv : Planina 394 | P = 795 | H = 476 | kTezine = 297.734 |
| Naziv : Planina 83 | P = 997 | H = 423 | kTezine = 296.994 |
| Naziv : Planina 285 | P = 763 | H = 486 | kTezine = 296.892 |
| Naziv : Planina 577 | P = 656 | H = 540 | kTezine = 296.187 |
| Naziv : Planina 566 | P = 955 | H = 429 | kTezine = 296.022 |
| Naziv : Planina 275 | P = 695 | H = 515 | kTezine = 295.806 |
| Naziv : Planina 676 | P = 699 | H = 511 | kTezine = 295.198 |
| Naziv : Planina 671 | P = 529 | H = 658 | kTezine = 293.245 |
| Naziv : Planina 384 | P = 998 | H = 413 | kTezine = 292.115 |
| Naziv : Planina 253 | P = 421 | H = 953 | kTezine = 292.004 |
| Naziv : Planina 484 | P = 565 | H = 604 | kTezine = 291.925 |
| Naziv : Planina 527 | P = 756 | H = 474 | kTezine = 291.337 |
| Naziv : Planina 642 | P = 428 | H = 911 | kTezine = 291.193 |
| Naziv : Planina 53 | P = 496 | H = 702 | kTezine = 290.644 |
| Naziv : Planina 46 | P = 683 | H = 505 | kTezine = 290.332 |
| Naziv : Planina 401 | P = 439 | H = 853 | kTezine = 289.835 |
| Naziv : Planina 733 | P = 622 | H = 540 | kTezine = 289.053 |
| Naziv : Planina 250 | P = 492 | H = 695 | kTezine = 288.071 |
| Naziv : Planina 650 | P = 482 | H = 715 | kTezine = 287.911 |
| Naziv : Planina 606 | P = 443 | H = 817 | kTezine = 287.247 |
| Naziv : Planina 457 | P = 406 | H = 979 | kTezine = 286.985 |
| Naziv : Planina 303 | P = 576 | H = 571 | kTezine = 286.745 |
| Naziv : Planina 757 | P = 508 | H = 656 | kTezine = 286.296 |
| Naziv : Planina 552 | P = 735 | H = 464 | kTezine = 284.437 |
| Naziv : Planina 157 | P = 890 | H = 418 | kTezine = 284.419 |
| Naziv : Planina 249 | P = 811 | H = 438 | kTezine = 284.402 |
| Naziv : Planina 634 | P = 934 | H = 408 | kTezine = 283.958 |
| Naziv : Planina 413 | P = 397 | H = 997 | kTezine = 283.938 |
| Naziv : Planina 542 | P = 767 | H = 449 | kTezine = 283.21 |
| Naziv : Planina 704 | P = 513 | H = 624 | kTezine = 281.541 |
| Naziv : Planina 315 | P = 490 | H = 655 | kTezine = 280.306 |
| Naziv : Planina 5 | P = 786 | H = 435 | kTezine = 280.025 |
| Naziv : Planina 37 | P = 644 | H = 495 | kTezine = 279.877 |
| Naziv : Planina 718 | P = 443 | H = 755 | kTezine = 279.186 |
| Naziv : Planina 203 | P = 398 | H = 929 | kTezine = 278.63 |
| Naziv : Planina 266 | P = 600 | H = 515 | kTezine = 277.13 |
| Naziv : Planina 119 | P = 938 | H = 393 | kTezine = 276.96 |
| Naziv : Planina 222 | P = 778 | H = 430 | kTezine = 276.937 |
| Naziv : Planina 488 | P = 909 | H = 395 | kTezine = 275.349 |
| Naziv : Planina 699 | P = 534 | H = 563 | kTezine = 274.058 |
| Naziv : Planina 4 | P = 657 | H = 470 | kTezine = 273.993 |
| Naziv : Planina 338 | P = 683 | H = 456 | kTezine = 273.44 |
| Naziv : Planina 42 | P = 451 | H = 694 | kTezine = 273.357 |
| Naziv : Planina 637 | P = 397 | H = 873 | kTezine = 272.898 |
| Naziv : Planina 145 | P = 408 | H = 814 | kTezine = 271.777 |
| Naziv : Planina 73 | P = 427 | H = 742 | kTezine = 271.03 |
| Naziv : Planina 102 | P = 428 | H = 737 | kTezine = 270.761 |
| Naziv : Planina 684 | P = 611 | H = 485 | kTezine = 270.379 |
| Naziv : Planina 123 | P = 415 | H = 772 | kTezine = 269.907 |
| Naziv : Planina 227 | P = 377 | H = 945 | kTezine = 269.489 |
| Naziv : Planina 195 | P = 370 | H = 984 | kTezine = 268.892 |
| Naziv : Planina 163 | P = 983 | H = 370 | kTezine = 268.817 |
| Naziv : Planina 519 | P = 511 | H = 565 | kTezine = 268.322 |
| Naziv : Planina 705 | P = 845 | H = 392 | kTezine = 267.777 |
| Naziv : Planina 739 | P = 460 | H = 640 | kTezine = 267.636 |
| Naziv : Planina 593 | P = 408 | H = 777 | kTezine = 267.524 |
| Naziv : Planina 522 | P = 430 | H = 708 | kTezine = 267.522 |
| Naziv : Planina 106 | P = 436 | H = 692 | kTezine = 267.475 |
| Naziv : Planina 518 | P = 407 | H = 778 | kTezine = 267.212 |
| Naziv : Planina 710 | P = 390 | H = 826 | kTezine = 264.918 |
| Naziv : Planina 719 | P = 878 | H = 378 | kTezine = 264.239 |
| Naziv : Planina 550 | P = 760 | H = 402 | kTezine = 262.926 |
| Naziv : Planina 402 | P = 532 | H = 516 | kTezine = 261.939 |
| Naziv : Planina 344 | P = 688 | H = 422 | kTezine = 261.564 |
| Naziv : Planina 430 | P = 531 | H = 514 | kTezine = 261.181 |
| Naziv : Planina 132 | P = 614 | H = 451 | kTezine = 260.013 |
| Naziv : Planina 408 | P = 362 | H = 915 | kTezine = 259.381 |
| Naziv : Planina 742 | P = 446 | H = 616 | kTezine = 258.697 |
| Naziv : Planina 429 | P = 372 | H = 849 | kTezine = 258.663 |
| Naziv : Planina 389 | P = 808 | H = 380 | kTezine = 258.451 |
| Naziv : Planina 380 | P = 410 | H = 699 | kTezine = 258.422 |
| Naziv : Planina 181 | P = 884 | H = 365 | kTezine = 258.335 |
| Naziv : Planina 139 | P = 555 | H = 476 | kTezine = 256.237 |
| Naziv : Planina 12 | P = 364 | H = 864 | kTezine = 256.104 |
| Naziv : Planina 602 | P = 444 | H = 602 | kTezine = 255.533 |
| Naziv : Planina 567 | P = 470 | H = 557 | kTezine = 254.908 |
| Naziv : Planina 422 | P = 392 | H = 728 | kTezine = 254.8 |
| Naziv : Planina 379 | P = 437 | H = 608 | kTezine = 254.255 |
| Naziv : Planina 54 | P = 437 | H = 608 | kTezine = 254.255 |
| Naziv : Planina 167 | P = 398 | H = 697 | kTezine = 253.339 |
| Naziv : Planina 113 | P = 415 | H = 649 | kTezine = 253.134 |
| Naziv : Planina 706 | P = 957 | H = 344 | kTezine = 253.042 |
| Naziv : Planina 397 | P = 349 | H = 915 | kTezine = 252.638 |
| Naziv : Planina 404 | P = 635 | H = 419 | kTezine = 252.434 |
| Naziv : Planina 358 | P = 371 | H = 788 | kTezine = 252.242 |
| Naziv : Planina 366 | P = 711 | H = 387 | kTezine = 250.598 |
| Naziv : Planina 307 | P = 376 | H = 751 | kTezine = 250.555 |
| Naziv : Planina 469 | P = 526 | H = 478 | kTezine = 250.426 |
| Naziv : Planina 460 | P = 995 | H = 334 | kTezine = 250.06 |
| Naziv : Planina 365 | P = 564 | H = 449 | kTezine = 249.986 |
| Naziv : Planina 391 | P = 692 | H = 390 | kTezine = 249.427 |
| Naziv : Planina 759 | P = 652 | H = 403 | kTezine = 249.058 |
| Naziv : Planina 513 | P = 349 | H = 865 | kTezine = 248.67 |
| Naziv : Planina 517 | P = 990 | H = 332 | kTezine = 248.623 |
| Naziv : Planina 209 | P = 365 | H = 764 | kTezine = 246.997 |
| Naziv : Planina 707 | P = 450 | H = 545 | kTezine = 246.482 |
| Naziv : Planina 609 | P = 627 | H = 404 | kTezine = 245.692 |
| Naziv : Planina 375 | P = 584 | H = 423 | kTezine = 245.315 |
| Naziv : Planina 645 | P = 464 | H = 512 | kTezine = 243.41 |
| Naziv : Planina 652 | P = 804 | H = 349 | kTezine = 243.362 |
| Naziv : Planina 339 | P = 403 | H = 614 | kTezine = 243.306 |
| Naziv : Planina 695 | P = 644 | H = 391 | kTezine = 243.289 |
| Naziv : Planina 454 | P = 521 | H = 456 | kTezine = 243.169 |
| Naziv : Planina 535 | P = 474 | H = 487 | kTezine = 240.206 |
| Naziv : Planina 66 | P = 333 | H = 850 | kTezine = 239.265 |
| Naziv : Planina 599 | P = 419 | H = 556 | kTezine = 238.937 |
| Naziv : Planina 28 | P = 435 | H = 529 | kTezine = 238.709 |
| Naziv : Planina 478 | P = 603 | H = 389 | kTezine = 236.459 |
| Naziv : Planina 591 | P = 692 | H = 358 | kTezine = 235.939 |
| Naziv : Planina 486 | P = 499 | H = 445 | kTezine = 235.228 |
| Naziv : Planina 13 | P = 473 | H = 467 | kTezine = 234.99 |
| Naziv : Planina 34 | P = 585 | H = 392 | kTezine = 234.719 |
| Naziv : Planina 258 | P = 410 | H = 549 | kTezine = 234.713 |
| Naziv : Planina 736 | P = 561 | H = 403 | kTezine = 234.526 |
| Naziv : Planina 191 | P = 861 | H = 322 | kTezine = 234.355 |
| Naziv : Planina 601 | P = 447 | H = 491 | kTezine = 233.984 |
| Naziv : Planina 218 | P = 370 | H = 636 | kTezine = 233.917 |
| Naziv : Planina 88 | P = 433 | H = 508 | kTezine = 233.756 |
| Naziv : Planina 278 | P = 350 | H = 696 | kTezine = 232.887 |
| Naziv : Planina 58 | P = 459 | H = 469 | kTezine = 231.973 |
| Naziv : Planina 374 | P = 303 | H = 982 | kTezine = 231.553 |
| Naziv : Planina 1 | P = 427 | H = 505 | kTezine = 231.368 |
| Naziv : Planina 134 | P = 806 | H = 324 | kTezine = 231.101 |
| Naziv : Planina 578 | P = 345 | H = 688 | kTezine = 229.777 |
| Naziv : Planina 541 | P = 827 | H = 316 | kTezine = 228.637 |
| Naziv : Planina 420 | P = 955 | H = 300 | kTezine = 228.287 |
| Naziv : Planina 96 | P = 460 | H = 451 | kTezine = 227.728 |
| Naziv : Planina 257 | P = 400 | H = 527 | kTezine = 227.4 |
| Naziv : Planina 201 | P = 791 | H = 319 | kTezine = 227.323 |
| Naziv : Planina 260 | P = 968 | H = 297 | kTezine = 227.27 |
| Naziv : Planina 271 | P = 594 | H = 364 | kTezine = 225.695 |
| Naziv : Planina 536 | P = 367 | H = 585 | kTezine = 225.52 |
| Naziv : Planina 246 | P = 381 | H = 545 | kTezine = 224.239 |
| Naziv : Planina 648 | P = 692 | H = 329 | kTezine = 222.985 |
| Naziv : Planina 79 | P = 374 | H = 551 | kTezine = 222.783 |
| Naziv : Planina 685 | P = 919 | H = 294 | kTezine = 222.742 |
| Naziv : Planina 396 | P = 288 | H = 983 | kTezine = 222.741 |
| Naziv : Planina 407 | P = 794 | H = 309 | kTezine = 222.435 |
| Naziv : Planina 284 | P = 528 | H = 384 | kTezine = 222.316 |
| Naziv : Planina 556 | P = 659 | H = 334 | kTezine = 221.658 |
| Naziv : Planina 649 | P = 319 | H = 725 | kTezine = 221.528 |
| Naziv : Planina 636 | P = 976 | H = 286 | kTezine = 221.185 |
| Naziv : Planina 487 | P = 930 | H = 288 | kTezine = 219.901 |
| Naziv : Planina 774 | P = 350 | H = 591 | kTezine = 219.819 |
| Naziv : Planina 551 | P = 366 | H = 547 | kTezine = 219.279 |
| Naziv : Planina 701 | P = 303 | H = 785 | kTezine = 218.617 |
| Naziv : Planina 709 | P = 319 | H = 689 | kTezine = 218.047 |
| Naziv : Planina 655 | P = 645 | H = 326 | kTezine = 216.55 |
| Naziv : Planina 691 | P = 995 | H = 276 | kTezine = 216.066 |
| Naziv : Planina 635 | P = 301 | H = 763 | kTezine = 215.849 |
| Naziv : Planina 675 | P = 911 | H = 282 | kTezine = 215.341 |
| Naziv : Planina 747 | P = 293 | H = 809 | kTezine = 215.097 |
| Naziv : Planina 764 | P = 518 | H = 361 | kTezine = 212.739 |
| Naziv : Planina 525 | P = 837 | H = 283 | kTezine = 211.492 |
| Naziv : Planina 612 | P = 273 | H = 924 | kTezine = 210.737 |
| Naziv : Planina 509 | P = 637 | H = 314 | kTezine = 210.324 |
| Naziv : Planina 276 | P = 528 | H = 348 | kTezine = 209.753 |
| Naziv : Planina 199 | P = 307 | H = 662 | kTezine = 209.736 |
| Naziv : Planina 137 | P = 757 | H = 289 | kTezine = 209.152 |
| Naziv : Planina 475 | P = 600 | H = 320 | kTezine = 208.696 |
| Naziv : Planina 666 | P = 272 | H = 895 | kTezine = 208.603 |
| Naziv : Planina 10 | P = 975 | H = 264 | kTezine = 207.748 |
| Naziv : Planina 49 | P = 307 | H = 642 | kTezine = 207.686 |
| Naziv : Planina 714 | P = 728 | H = 290 | kTezine = 207.387 |
| Naziv : Planina 170 | P = 539 | H = 336 | kTezine = 206.976 |
| Naziv : Planina 700 | P = 306 | H = 634 | kTezine = 206.387 |
| Naziv : Planina 693 | P = 434 | H = 391 | kTezine = 205.69 |
| Naziv : Planina 59 | P = 272 | H = 842 | kTezine = 205.587 |
| Naziv : Planina 162 | P = 275 | H = 810 | kTezine = 205.3 |
| Naziv : Planina 616 | P = 412 | H = 409 | kTezine = 205.247 |
| Naziv : Planina 596 | P = 796 | H = 276 | kTezine = 204.94 |
| Naziv : Planina 196 | P = 341 | H = 513 | kTezine = 204.84 |
| Naziv : Planina 572 | P = 434 | H = 386 | kTezine = 204.298 |
| Naziv : Planina 670 | P = 873 | H = 265 | kTezine = 203.291 |
| Naziv : Planina 573 | P = 820 | H = 269 | kTezine = 202.553 |
| Naziv : Planina 543 | P = 312 | H = 573 | kTezine = 202.007 |
| Naziv : Planina 109 | P = 413 | H = 395 | kTezine = 201.9 |
| Naziv : Planina 687 | P = 446 | H = 368 | kTezine = 201.631 |
| Naziv : Planina 504 | P = 345 | H = 485 | kTezine = 201.596 |
| Naziv : Planina 229 | P = 286 | H = 681 | kTezine = 201.413 |
| Naziv : Planina 745 | P = 321 | H = 540 | kTezine = 201.324 |
| Naziv : Planina 146 | P = 339 | H = 495 | kTezine = 201.205 |
| Naziv : Planina 247 | P = 263 | H = 852 | kTezine = 200.965 |
| Naziv : Planina 234 | P = 306 | H = 578 | kTezine = 200.077 |
| Naziv : Planina 98 | P = 255 | H = 902 | kTezine = 198.799 |
| Naziv : Planina 755 | P = 500 | H = 330 | kTezine = 198.795 |
| Naziv : Planina 565 | P = 254 | H = 899 | kTezine = 198.045 |
| Naziv : Planina 180 | P = 792 | H = 264 | kTezine = 198 |
| Naziv : Planina 545 | P = 252 | H = 909 | kTezine = 197.302 |
| Naziv : Planina 94 | P = 801 | H = 261 | kTezine = 196.856 |
